PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2023,40,X,2.386,X,X,X,X,X,X,1024,106,42917
States,Alaska,2023,40,X,3.46432,X,X,X,X,X,X,134,12,3868
States,Arizona,2023,40,X,1.93528,X,X,X,X,X,X,1446,122,74718
States,Arkansas,2023,40,X,1.5546,X,X,X,X,X,X,252,52,16210
States,California,2023,40,X,2.8034,X,X,X,X,X,X,6790,204,242206
States,Colorado,2023,40,X,2.10362,X,X,X,X,X,X,981,97,46634
States,Connecticut,2023,40,X,1.7989,X,X,X,X,X,X,787,69,43749
States,Delaware,2023,40,X,0.975953,X,X,X,X,X,X,125,23,12808
States,District of Columbia,2023,40,X,4.02926,X,X,X,X,X,X,303,7,7520
States,Florida,2023,40,X,3.90749,X,X,X,X,X,X,9918,359,253820
States,Georgia,2023,40,X,3.36915,X,X,X,X,X,X,2875,102,85333
States,Hawaii,2023,40,X,2.76912,X,X,X,X,X,X,951,43,34343
States,Idaho,2023,40,X,0.913775,X,X,X,X,X,X,94,31,10287
States,Illinois,2023,40,X,1.45023,X,X,X,X,X,X,1104,177,76126
States,Indiana,2023,40,X,1.66458,X,X,X,X,X,X,1263,160,75875
States,Iowa,2023,40,X,0.618238,X,X,X,X,X,X,36,15,5823
States,Kansas,2023,40,X,0.813008,X,X,X,X,X,X,160,36,19680
States,Kentucky,2023,40,X,1.38472,X,X,X,X,X,X,503,87,36325
States,Louisiana,2023,40,X,2.33067,X,X,X,X,X,X,1011,87,43378
States,Maine,2023,40,X,0.75643,X,X,X,X,X,X,120,52,15864
States,Maryland,2023,40,X,2.38418,X,X,X,X,X,X,1159,69,48612
States,Massachusetts,2023,40,X,1.34589,X,X,X,X,X,X,1208,105,89755
States,Michigan,2023,40,X,1.01287,X,X,X,X,X,X,1469,284,145033
States,Minnesota,2023,40,X,0.729254,X,X,X,X,X,X,261,73,35790
States,Mississippi,2023,40,X,3.00762,X,X,X,X,X,X,434,30,14430
States,Missouri,2023,40,X,1.29875,X,X,X,X,X,X,365,41,28104
States,Montana,2023,40,X,0.664697,X,X,X,X,X,X,45,28,6770
States,Nebraska,2023,40,X,1.8404,X,X,X,X,X,X,250,92,13584
States,Nevada,2023,40,X,1.76274,X,X,X,X,X,X,785,66,44533
States,New Hampshire,2023,40,X,0.332188,X,X,X,X,X,X,29,21,8730
States,New Jersey,2023,40,X,3.1924,X,X,X,X,X,X,974,32,30510
States,New Mexico,2023,40,X,3.26676,X,X,X,X,X,X,705,39,21581
States,New York,2023,40,X,1.61437,X,X,X,X,X,X,993,120,61510
States,North Carolina,2023,40,X,1.61481,X,X,X,X,X,X,1517,142,93943
States,North Dakota,2023,40,X,0.772201,X,X,X,X,X,X,18,11,2331
States,Ohio,2023,40,X,1.76328,X,X,X,X,X,X,671,71,38054
States,Oklahoma,2023,40,X,0.895349,X,X,X,X,X,X,170,31,18987
States,Oregon,2023,40,X,1.12201,X,X,X,X,X,X,461,89,41087
States,Pennsylvania,2023,40,X,1.07899,X,X,X,X,X,X,761,101,70529
States,Rhode Island,2023,40,X,1.05621,X,X,X,X,X,X,149,24,14107
States,South Carolina,2023,40,X,2.40268,X,X,X,X,X,X,766,38,31881
States,South Dakota,2023,40,X,0.807715,X,X,X,X,X,X,67,31,8295
States,Tennessee,2023,40,X,2.207,X,X,X,X,X,X,773,100,35025
States,Texas,2023,40,X,3.46579,X,X,X,X,X,X,1726,51,49801
States,Utah,2023,40,X,1.21488,X,X,X,X,X,X,227,47,18685
States,Vermont,2023,40,X,0.597882,X,X,X,X,X,X,35,11,5854
States,Virginia,2023,40,X,2.61894,X,X,X,X,X,X,3021,180,115352
States,Washington,2023,40,X,1.05265,X,X,X,X,X,X,811,109,77044
States,West Virginia,2023,40,X,1.9527,X,X,X,X,X,X,270,46,13827
States,Wisconsin,2023,40,X,1.16517,X,X,X,X,X,X,359,66,30811
States,Wyoming,2023,40,X,3.14594,X,X,X,X,X,X,108,17,3433
States,Commonwealth of the Northern Mariana Islands,2023,40,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2023,40,X,7.11921,X,X,X,X,X,X,129,5,1812
States,Virgin Islands,2023,40,X,2.35602,X,X,X,X,X,X,27,4,1146
States,New York City,2023,40,X,4.54167,X,X,X,X,X,X,5510,105,121321
States,Alabama,2023,41,X,2.46835,X,X,X,X,X,X,1045,108,42336
States,Alaska,2023,41,X,4.56913,X,X,X,X,X,X,193,12,4224
States,Arizona,2023,41,X,1.83472,X,X,X,X,X,X,1331,120,72545
States,Arkansas,2023,41,X,1.87232,X,X,X,X,X,X,293,48,15649
States,California,2023,41,X,2.68133,X,X,X,X,X,X,7433,211,277213
States,Colorado,2023,41,X,2.36711,X,X,X,X,X,X,1156,97,48836
States,Connecticut,2023,41,X,1.6177,X,X,X,X,X,X,685,69,42344
States,Delaware,2023,41,X,0.90978,X,X,X,X,X,X,120,23,13190
States,District of Columbia,2023,41,X,4.18207,X,X,X,X,X,X,328,7,7843
States,Florida,2023,41,X,4.04913,X,X,X,X,X,X,10289,359,254104
States,Georgia,2023,41,X,3.66196,X,X,X,X,X,X,2934,103,80121
States,Hawaii,2023,41,X,2.90107,X,X,X,X,X,X,917,43,31609
States,Idaho,2023,41,X,0.850735,X,X,X,X,X,X,88,31,10344
States,Illinois,2023,41,X,1.54895,X,X,X,X,X,X,1093,174,70564
States,Indiana,2023,41,X,1.742,X,X,X,X,X,X,1246,159,71527
States,Iowa,2023,41,X,1.25408,X,X,X,X,X,X,73,15,5821
States,Kansas,2023,41,X,0.883721,X,X,X,X,X,X,171,36,19350
States,Kentucky,2023,41,X,1.38576,X,X,X,X,X,X,517,89,37308
States,Louisiana,2023,41,X,2.47639,X,X,X,X,X,X,1049,87,42360
States,Maine,2023,41,X,0.996232,X,X,X,X,X,X,156,52,15659
States,Maryland,2023,41,X,2.37142,X,X,X,X,X,X,1131,69,47693
States,Massachusetts,2023,41,X,1.29241,X,X,X,X,X,X,1124,104,86969
States,Michigan,2023,41,X,1.07855,X,X,X,X,X,X,1529,284,141764
States,Minnesota,2023,41,X,0.927501,X,X,X,X,X,X,338,74,36442
States,Mississippi,2023,41,X,3.05499,X,X,X,X,X,X,450,31,14730
States,Missouri,2023,41,X,1.38578,X,X,X,X,X,X,390,41,28143
States,Montana,2023,41,X,0.663683,X,X,X,X,X,X,43,28,6479
States,Nebraska,2023,41,X,2.00765,X,X,X,X,X,X,320,92,15939
States,Nevada,2023,41,X,1.85901,X,X,X,X,X,X,842,65,45293
States,New Hampshire,2023,41,X,0.348028,X,X,X,X,X,X,30,22,8620
States,New Jersey,2023,41,X,3.59884,X,X,X,X,X,X,980,31,27231
States,New Mexico,2023,41,X,3.3071,X,X,X,X,X,X,706,39,21348
States,New York,2023,41,X,1.53101,X,X,X,X,X,X,907,123,59242
States,North Carolina,2023,41,X,1.74376,X,X,X,X,X,X,1613,144,92501
States,North Dakota,2023,41,X,1.78971,X,X,X,X,X,X,40,10,2235
States,Ohio,2023,41,X,2.03954,X,X,X,X,X,X,784,74,38440
States,Oklahoma,2023,41,X,0.870059,X,X,X,X,X,X,199,32,22872
States,Oregon,2023,41,X,1.1611,X,X,X,X,X,X,472,89,40651
States,Pennsylvania,2023,41,X,0.997093,X,X,X,X,X,X,662,100,66393
States,Rhode Island,2023,41,X,1.00802,X,X,X,X,X,X,132,23,13095
States,South Carolina,2023,41,X,2.47716,X,X,X,X,X,X,797,39,32174
States,South Dakota,2023,41,X,0.563311,X,X,X,X,X,X,46,31,8166
States,Tennessee,2023,41,X,2.15732,X,X,X,X,X,X,729,99,33792
States,Texas,2023,41,X,3.47986,X,X,X,X,X,X,1717,52,49341
States,Utah,2023,41,X,1.08902,X,X,X,X,X,X,207,48,19008
States,Vermont,2023,41,X,0.633009,X,X,X,X,X,X,41,15,6477
States,Virginia,2023,41,X,2.75399,X,X,X,X,X,X,3145,180,114198
States,Washington,2023,41,X,1.00214,X,X,X,X,X,X,755,109,75339
States,West Virginia,2023,41,X,1.61485,X,X,X,X,X,X,227,50,14057
States,Wisconsin,2023,41,X,1.20201,X,X,X,X,X,X,350,66,29118
States,Wyoming,2023,41,X,3.52802,X,X,X,X,X,X,119,17,3373
States,Commonwealth of the Northern Mariana Islands,2023,41,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2023,41,X,4.40129,X,X,X,X,X,X,68,4,1545
States,Virgin Islands,2023,41,X,1.73611,X,X,X,X,X,X,20,4,1152
States,New York City,2023,41,X,4.50132,X,X,X,X,X,X,5262,106,116899
States,Alabama,2023,42,X,2.80341,X,X,X,X,X,X,1121,101,39987
States,Alaska,2023,42,X,4.20251,X,X,X,X,X,X,171,12,4069
States,Arizona,2023,42,X,1.82766,X,X,X,X,X,X,1396,120,76382
States,Arkansas,2023,42,X,2.32202,X,X,X,X,X,X,349,48,15030
States,California,2023,42,X,3.2034,X,X,X,X,X,X,8892,209,277580
States,Colorado,2023,42,X,2.65411,X,X,X,X,X,X,1311,97,49395
States,Connecticut,2023,42,X,1.69583,X,X,X,X,X,X,719,69,42398
States,Delaware,2023,42,X,0.969894,X,X,X,X,X,X,125,22,12888
States,District of Columbia,2023,42,X,4.97941,X,X,X,X,X,X,399,7,8013
States,Florida,2023,42,X,4.37331,X,X,X,X,X,X,11103,358,253881
States,Georgia,2023,42,X,3.69092,X,X,X,X,X,X,2887,103,78219
States,Hawaii,2023,42,X,3.20831,X,X,X,X,X,X,1106,43,34473
States,Idaho,2023,42,X,0.840588,X,X,X,X,X,X,84,30,9993
States,Illinois,2023,42,X,1.47107,X,X,X,X,X,X,1084,177,73688
States,Indiana,2023,42,X,1.82493,X,X,X,X,X,X,1269,160,69537
States,Iowa,2023,42,X,1.02366,X,X,X,X,X,X,61,16,5959
States,Kansas,2023,42,X,1.01148,X,X,X,X,X,X,193,35,19081
States,Kentucky,2023,42,X,1.48537,X,X,X,X,X,X,560,89,37701
States,Louisiana,2023,42,X,2.91474,X,X,X,X,X,X,1268,87,43503
States,Maine,2023,42,X,0.730871,X,X,X,X,X,X,113,51,15461
States,Maryland,2023,42,X,2.508,X,X,X,X,X,X,1215,71,48445
States,Massachusetts,2023,42,X,1.47521,X,X,X,X,X,X,1292,105,87581
States,Michigan,2023,42,X,1.16954,X,X,X,X,X,X,1573,283,134497
States,Minnesota,2023,42,X,0.95395,X,X,X,X,X,X,330,75,34593
States,Mississippi,2023,42,X,3.27678,X,X,X,X,X,X,506,31,15442
States,Missouri,2023,42,X,1.22446,X,X,X,X,X,X,344,41,28094
States,Montana,2023,42,X,0.736037,X,X,X,X,X,X,51,28,6929
States,Nebraska,2023,42,X,2.09493,X,X,X,X,X,X,320,92,15275
States,Nevada,2023,42,X,2.03902,X,X,X,X,X,X,929,65,45561
States,New Hampshire,2023,42,X,0.432496,X,X,X,X,X,X,37,21,8555
States,New Jersey,2023,42,X,3.57265,X,X,X,X,X,X,1042,33,29166
States,New Mexico,2023,42,X,3.7454,X,X,X,X,X,X,815,38,21760
States,New York,2023,42,X,1.57384,X,X,X,X,X,X,909,121,57757
States,North Carolina,2023,42,X,1.80944,X,X,X,X,X,X,1634,142,90304
States,North Dakota,2023,42,X,1.71001,X,X,X,X,X,X,48,12,2807
States,Ohio,2023,42,X,2.19698,X,X,X,X,X,X,820,73,37324
States,Oklahoma,2023,42,X,1.24307,X,X,X,X,X,X,278,37,22364
States,Oregon,2023,42,X,1.07374,X,X,X,X,X,X,431,79,40140
States,Pennsylvania,2023,42,X,1.22157,X,X,X,X,X,X,827,99,67700
States,Rhode Island,2023,42,X,1.02588,X,X,X,X,X,X,132,22,12867
States,South Carolina,2023,42,X,2.68934,X,X,X,X,X,X,870,39,32350
States,South Dakota,2023,42,X,0.688287,X,X,X,X,X,X,59,31,8572
States,Tennessee,2023,42,X,2.07687,X,X,X,X,X,X,689,98,33175
States,Texas,2023,42,X,3.99797,X,X,X,X,X,X,2051,52,51301
States,Utah,2023,42,X,1.24646,X,X,X,X,X,X,238,48,19094
States,Vermont,2023,42,X,0.858034,X,X,X,X,X,X,55,16,6410
States,Virginia,2023,42,X,2.95628,X,X,X,X,X,X,3419,181,115652
States,Washington,2023,42,X,1.02678,X,X,X,X,X,X,761,109,74115
States,West Virginia,2023,42,X,1.41335,X,X,X,X,X,X,203,51,14363
States,Wisconsin,2023,42,X,1.2122,X,X,X,X,X,X,356,65,29368
States,Wyoming,2023,42,X,5.03827,X,X,X,X,X,X,158,18,3136
States,Commonwealth of the Northern Mariana Islands,2023,42,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2023,42,X,6.23349,X,X,X,X,X,X,118,5,1893
States,Virgin Islands,2023,42,X,1.71569,X,X,X,X,X,X,21,4,1224
States,New York City,2023,42,X,4.82447,X,X,X,X,X,X,5655,105,117215
States,Alabama,2023,43,X,3.16711,X,X,X,X,X,X,1368,108,43194
States,Alaska,2023,43,X,4.25479,X,X,X,X,X,X,171,12,4019
States,Arizona,2023,43,X,1.89387,X,X,X,X,X,X,1433,119,75665
States,Arkansas,2023,43,X,2.08241,X,X,X,X,X,X,330,47,15847
States,California,2023,43,X,3.35172,X,X,X,X,X,X,9268,210,276515
States,Colorado,2023,43,X,2.5808,X,X,X,X,X,X,1276,97,49442
States,Connecticut,2023,43,X,1.88214,X,X,X,X,X,X,809,69,42983
States,Delaware,2023,43,X,0.905907,X,X,X,X,X,X,119,22,13136
States,District of Columbia,2023,43,X,5.0665,X,X,X,X,X,X,400,6,7895
States,Florida,2023,43,X,4.7522,X,X,X,X,X,X,12309,357,259017
States,Georgia,2023,43,X,3.97671,X,X,X,X,X,X,3387,103,85171
States,Hawaii,2023,43,X,3.36874,X,X,X,X,X,X,1164,42,34553
States,Idaho,2023,43,X,0.771208,X,X,X,X,X,X,60,31,7780
States,Illinois,2023,43,X,1.86722,X,X,X,X,X,X,1402,177,75085
States,Indiana,2023,43,X,1.83511,X,X,X,X,X,X,1108,161,60378
States,Iowa,2023,43,X,0.905797,X,X,X,X,X,X,50,16,5520
States,Kansas,2023,43,X,1.06079,X,X,X,X,X,X,204,36,19231
States,Kentucky,2023,43,X,1.68795,X,X,X,X,X,X,641,88,37975
States,Louisiana,2023,43,X,3.33176,X,X,X,X,X,X,1485,87,44571
States,Maine,2023,43,X,0.911773,X,X,X,X,X,X,136,52,14916
States,Maryland,2023,43,X,2.76188,X,X,X,X,X,X,1366,71,49459
States,Massachusetts,2023,43,X,1.42261,X,X,X,X,X,X,1275,103,89624
States,Michigan,2023,43,X,1.2617,X,X,X,X,X,X,1839,284,145756
States,Minnesota,2023,43,X,0.861952,X,X,X,X,X,X,317,74,36777
States,Mississippi,2023,43,X,4.03415,X,X,X,X,X,X,619,30,15344
States,Missouri,2023,43,X,1.57075,X,X,X,X,X,X,446,41,28394
States,Montana,2023,43,X,0.657277,X,X,X,X,X,X,42,28,6390
States,Nebraska,2023,43,X,2.2682,X,X,X,X,X,X,364,92,16048
States,Nevada,2023,43,X,2.19422,X,X,X,X,X,X,989,65,45073
States,New Hampshire,2023,43,X,0.446275,X,X,X,X,X,X,39,23,8739
States,New Jersey,2023,43,X,3.63107,X,X,X,X,X,X,1022,32,28146
States,New Mexico,2023,43,X,3.86958,X,X,X,X,X,X,864,40,22328
States,New York,2023,43,X,1.69349,X,X,X,X,X,X,984,122,58105
States,North Carolina,2023,43,X,2.01979,X,X,X,X,X,X,1862,144,92188
States,North Dakota,2023,43,X,2.11924,X,X,X,X,X,X,75,12,3539
States,Ohio,2023,43,X,2.21699,X,X,X,X,X,X,867,74,39107
States,Oklahoma,2023,43,X,1.42973,X,X,X,X,X,X,334,39,23361
States,Oregon,2023,43,X,1.16559,X,X,X,X,X,X,451,88,38693
States,Pennsylvania,2023,43,X,1.22055,X,X,X,X,X,X,833,100,68248
States,Rhode Island,2023,43,X,1.12159,X,X,X,X,X,X,157,24,13998
States,South Carolina,2023,43,X,3.02114,X,X,X,X,X,X,1009,39,33398
States,South Dakota,2023,43,X,0.998398,X,X,X,X,X,X,81,31,8113
States,Tennessee,2023,43,X,2.18623,X,X,X,X,X,X,783,99,35815
States,Texas,2023,43,X,4.29037,X,X,X,X,X,X,2240,53,52210
States,Utah,2023,43,X,1.16752,X,X,X,X,X,X,221,48,18929
States,Vermont,2023,43,X,0.748013,X,X,X,X,X,X,48,16,6417
States,Virginia,2023,43,X,3.17112,X,X,X,X,X,X,3752,181,118318
States,Washington,2023,43,X,0.956771,X,X,X,X,X,X,714,109,74626
States,West Virginia,2023,43,X,1.77349,X,X,X,X,X,X,272,52,15337
States,Wisconsin,2023,43,X,1.21127,X,X,X,X,X,X,353,63,29143
States,Wyoming,2023,43,X,4.68269,X,X,X,X,X,X,152,18,3246
States,Commonwealth of the Northern Mariana Islands,2023,43,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2023,43,X,9.1954,X,X,X,X,X,X,176,5,1914
States,Virgin Islands,2023,43,X,1.82724,X,X,X,X,X,X,22,4,1204
States,New York City,2023,43,X,4.87231,X,X,X,X,X,X,5798,105,118999
States,Alabama,2023,44,X,3.65208,X,X,X,X,X,X,1517,106,41538
States,Alaska,2023,44,X,5.72792,X,X,X,X,X,X,240,12,4190
States,Arizona,2023,44,X,2.2348,X,X,X,X,X,X,1670,119,74727
States,Arkansas,2023,44,X,2.56428,X,X,X,X,X,X,381,48,14858
States,California,2023,44,X,3.86125,X,X,X,X,X,X,10565,209,273616
States,Colorado,2023,44,X,3.10711,X,X,X,X,X,X,1514,97,48727
States,Connecticut,2023,44,X,2.06798,X,X,X,X,X,X,870,69,42070
States,Delaware,2023,44,X,1.09323,X,X,X,X,X,X,144,22,13172
States,District of Columbia,2023,44,X,5.20627,X,X,X,X,X,X,395,7,7587
States,Florida,2023,44,X,5.05029,X,X,X,X,X,X,13095,358,259292
States,Georgia,2023,44,X,4.31811,X,X,X,X,X,X,3551,103,82235
States,Hawaii,2023,44,X,3.34391,X,X,X,X,X,X,1149,43,34361
States,Idaho,2023,44,X,1.13294,X,X,X,X,X,X,109,30,9621
States,Illinois,2023,44,X,2.04917,X,X,X,X,X,X,1466,177,71541
States,Indiana,2023,44,X,1.77858,X,X,X,X,X,X,1282,161,72080
States,Iowa,2023,44,X,1.11908,X,X,X,X,X,X,64,16,5719
States,Kansas,2023,44,X,1.07723,X,X,X,X,X,X,201,36,18659
States,Kentucky,2023,44,X,1.93003,X,X,X,X,X,X,737,89,38186
States,Louisiana,2023,44,X,3.8869,X,X,X,X,X,X,1640,87,42193
States,Maine,2023,44,X,0.85074,X,X,X,X,X,X,123,51,14458
States,Maryland,2023,44,X,2.89366,X,X,X,X,X,X,1399,71,48347
States,Massachusetts,2023,44,X,1.72117,X,X,X,X,X,X,1489,104,86511
States,Michigan,2023,44,X,1.2338,X,X,X,X,X,X,1747,285,141595
States,Minnesota,2023,44,X,0.939324,X,X,X,X,X,X,346,74,36835
States,Mississippi,2023,44,X,4.47523,X,X,X,X,X,X,672,31,15016
States,Missouri,2023,44,X,1.39789,X,X,X,X,X,X,373,41,26683
States,Montana,2023,44,X,0.56616,X,X,X,X,X,X,35,28,6182
States,Nebraska,2023,44,X,2.46945,X,X,X,X,X,X,386,92,15631
States,Nevada,2023,44,X,2.27822,X,X,X,X,X,X,1000,65,43894
States,New Hampshire,2023,44,X,0.514426,X,X,X,X,X,X,46,23,8942
States,New Jersey,2023,44,X,3.67624,X,X,X,X,X,X,942,31,25624
States,New Mexico,2023,44,X,4.73691,X,X,X,X,X,X,1074,41,22673
States,New York,2023,44,X,1.70934,X,X,X,X,X,X,978,122,57215
States,North Carolina,2023,44,X,2.16731,X,X,X,X,X,X,1970,142,90896
States,North Dakota,2023,44,X,2.09497,X,X,X,X,X,X,75,13,3580
States,Ohio,2023,44,X,2.12434,X,X,X,X,X,X,844,77,39730
States,Oklahoma,2023,44,X,1.89493,X,X,X,X,X,X,325,36,17151
States,Oregon,2023,44,X,1.20819,X,X,X,X,X,X,467,88,38653
States,Pennsylvania,2023,44,X,1.36159,X,X,X,X,X,X,888,101,65218
States,Rhode Island,2023,44,X,1.18422,X,X,X,X,X,X,169,24,14271
States,South Carolina,2023,44,X,3.6745,X,X,X,X,X,X,1221,39,33229
States,South Dakota,2023,44,X,0.77377,X,X,X,X,X,X,59,28,7625
States,Tennessee,2023,44,X,2.59487,X,X,X,X,X,X,893,98,34414
States,Texas,2023,44,X,4.62865,X,X,X,X,X,X,2238,53,48351
States,Utah,2023,44,X,1.56412,X,X,X,X,X,X,301,48,19244
States,Vermont,2023,44,X,0.762979,X,X,X,X,X,X,46,16,6029
States,Virginia,2023,44,X,3.26839,X,X,X,X,X,X,3687,172,112808
States,Washington,2023,44,X,1.18006,X,X,X,X,X,X,886,109,75081
States,West Virginia,2023,44,X,1.75645,X,X,X,X,X,X,269,54,15315
States,Wisconsin,2023,44,X,1.46898,X,X,X,X,X,X,431,66,29340
States,Wyoming,2023,44,X,5.06373,X,X,X,X,X,X,147,18,2903
States,Commonwealth of the Northern Mariana Islands,2023,44,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2023,44,X,8.64568,X,X,X,X,X,X,173,5,2001
States,Virgin Islands,2023,44,X,2.14456,X,X,X,X,X,X,27,4,1259
States,New York City,2023,44,X,5.03437,X,X,X,X,X,X,5757,104,114354
States,Alabama,2023,45,X,4.93639,X,X,X,X,X,X,2231,107,45195
States,Alaska,2023,45,X,5.32319,X,X,X,X,X,X,14,1,263
States,Arizona,2023,45,X,2.61483,X,X,X,X,X,X,2050,119,78399
States,Arkansas,2023,45,X,3.11547,X,X,X,X,X,X,511,49,16402
States,California,2023,45,X,4.23124,X,X,X,X,X,X,11836,209,279729
States,Colorado,2023,45,X,3.66139,X,X,X,X,X,X,1875,97,51210
States,Connecticut,2023,45,X,2.37309,X,X,X,X,X,X,1027,69,43277
States,Delaware,2023,45,X,1.0331,X,X,X,X,X,X,162,27,15681
